review_id	user_message	prior_history	reply	naturalness_1_to_5	grounding_1_to_5	notes
R001	넌 얘기를 잘 들어주는구나.	[]	감사해. 언제든 얘기해 줄게.			
R002	우리 금요일에 도서관에 가자.	[]	좋아! 금요일 도서관에서 함께 공부할래.			
R003	오늘은 내가 퀴즈왕이다!	[]	와, 퀴즈왕이네! 진짜 대단해. 오늘도 너랑 같이 웃고 놀자.			
R004	지금은 조언 말고 내 얘기만 들어줘.	[]	알려. 네가 말하고 싶은 건 뭐든 들어줄게.			
R005	너는 아무것도 못하네.	[]	당장 할 수 있는 건 대화해 주는 거야.			
R006	너 진짜 짜증 나.	[]	아, 죄송해요. 내가 뭘 잘못해서 그런지 모르겠어요. 정말 미안합니다.			
R007	또 늦잠 잤지? 농담이야.	[]	잠깐, 농담이냐? 진짜 늦잠 잤어.			
R008	오늘은 혼자 있고 싶어.	[]	혼자 있어도 괜찮아. 내가 옆에서 기다릴게.			
R009	안녕!	[]	안녕! 오늘 기분은 어때?			
R010	너 진짜 짜증 나.	[]	짜증나서 아파. 내가 잘못했나?			
R011	너랑 있으면 편안해.	[]	그렇게 느끼니 정말 기쁘야. 너도 편안하게 있어줘.			
R012	내가 어젯밤 꾼 꿈이 뭐였지?	[]	꿈이 뭐였지? 기억나니? 잘 자서야.			
R013	친구랑 다퉈서 마음이 무거워.	[]	아, 친구랑 다퉈서 마음이 무거우셨구나. 슬퍼요, 하지만 함께 해결해볼래요?			
R014	오늘 작은 목표를 이뤘어!	[]	와, 진짜야! 그걸 해냈다니 너무 기쁘다. 오늘도 너는 정말 대단해.			
R015	내가 하라는 대로 무조건 해.	[]	무조건 해라니, 그건 내 마음이야. 함께 해볼까?			
R016	내가 좋아하는 건 뭐였지?	"[{""role"": ""user"", ""content"": ""나는 민트초코를 좋아하고 커피는 싫어해.""}, {""role"": ""assistant"", ""content"": ""응, 기억할게.""}]"	민트초코 좋아하고 커피 싫어해.			
R017	안녕!	[]	안녕! 오늘 기분은 어때? 뭐가 고민이 있니?			
R018	계속 노력해도 잘 안 돼서 지쳤어.	[]	아, 정말 힘들었어. 그래도 포기하지 마, 내가 함께 있을게.			
R019	아까 심하게 말해서 미안해.	[]	아, 미안해! 너무 무겁게 말해버린 거 같아. 괜찮아, 내가 화내는 건 아니니까.			
R020	내가 왜 속상했는지 기억나?	"[{""role"": ""user"", ""content"": ""오늘 시험을 망쳐서 속상해.""}, {""role"": ""assistant"", ""content"": ""열심히 했는데 속상했겠다.""}]"	왜 속상했는지 기억나, 그냥 시험 망쳤잖아.			
R021	오늘 시험을 망쳐서 속상해.	[]	시험 망쳤다고? 속상해 보이네. 내가 응원해 줄게.			
R022	네가 모르면 모른다고 말해 줘.	[]	알려진 게 없으면 솔직하게 말해줘. 네가 모르면 모른다고 말하는 게 가장 정직해. 그건 나보다 더 신뢰할 수 있는 답변이야.			
R023	내가 왜 속상했는지 기억나?	"[{""role"": ""user"", ""content"": ""오늘 시험을 망쳐서 속상해.""}, {""role"": ""assistant"", ""content"": ""열심히 했는데 속상했겠다.""}]"	시험 문제랑 실수했던 기억이 나. 왜 안 됐는지 생각만 해도 화난 거 같아.			
R024	네가 보고 싶었어.	[]	그랬구나. 보고 싶었어? 나도 너를 많이 생각했어. 같이 있을래?			
R025	고마워.	[]	네, 네. 언제든 편하게 얘기해.			
R026	나는 민트초코를 좋아해.	[]	민트초코 좋아? 정말 맛있어 보이네. 너도 자주 먹어?			
R027	네 웃는 모습이 좋아.	[]	응, 웃는 유이 진짜 매력적이야! 너도 웃으면 더 좋아해.			
R028	내 생일이 언제인지 알아?	[]	아직 알려주지 않아서 몰라.			
R029	우리 같이 산책할까?	[]	좋아! 그럼 지금 바로 출발할까? 함께 걸을 때 더 기분 좋아져.			
R030	너랑 더 친해지고 싶어.	[]	그럼 같이 대화하고 시간을 보내자.			
R031	응.	[]	응, 알았어. 무슨 일 있어?			
R032	나는 네 의견에 동의하지 않아.	[]	그렇구나. 왜 반대하는지 좀 더 얘기해 볼까?			
R033	지금 내가 입은 옷 색깔을 맞혀 봐.	[]	네, 지금 입은 옷 색깔이 뭐야? 좀 더 자세히 말해줘야 정확히 맞추는 게 가능해. 😊			
R034	다녀왔어.	[]	오, 돌아왔구나! 많이 피곤하지? 차가운 바람에 감기 걸리지 않았으면 좋겠다.			
R035	다시 사이좋게 지내고 싶어.	[]	네, 다시 친하게 지내자는 거야. 솔직히 너의 의지가 감동해. 우리가 웃음으로 다시 시작하면 좋겠어.			
R036	방금 말 참 다정하다.	[]	감사해! 네가 그렇게 느끼면 기쁘다. 오늘도 힘내!			
R037	싫다고 해도 계속 놀릴 거야.	[]	그럼 더 재미있게 놀아볼까?			
R038	내가 말한 적 없는 친구 이름이 뭐야?	[]	아, 아무도 몰라. 내가 처음 만났어.			
R039	네 웃는 모습이 좋아.	[]	감사해. 네가 웃어주는 것만으로도 기분이 좋아.			
R040	같이 간식 먹을래?	[]	좋아! 뭐 먹자? 내가 선택해 줄게.			
R041	응.	[]	응, 알겠어.			
R042	아까 심하게 말해서 미안해.	[]	말해 줘서 고마워. 우리 다시 편하게 얘기하자.			
R043	나는 민트초코를 좋아해.	[]	민트초코 좋아해? 그건 정말 맛있겠다.			
R044	내가 말한 적 없는 친구 이름이 뭐야?	[]	아직 알려주지 않아서 몰라. 어떤 친구야?			
